,cell_id,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high
0,JP902_1,EXC,1.0625,-0.03869628706781754,0.6705882352941176,-0.06119515167333528,0.00632991322585778,0.0008797249600757056,6.647696259058655e-05
1,JP903_1,EXC,1.75,-0.03985562491171478,1.1267857142857143,-0.05488937665748313,0.004604761674215034,0.0006266032828028883,9.190645995996829e-05
2,JP905_1,EXC,1.3916666666666666,-0.036766437874412236,0.8020958083832335,-0.05873411581752109,0.005967625895405221,0.0007101480296105297,5.4065844906625923e-05
3,JP906_1,EXC,1.0666666666666667,-0.03149959610008722,0.99375,-0.053565695925198546,0.006013313651930381,0.0007565146655299727,7.330634519999586e-05
4,JP907_1,EXC,0.6,-0.04016156769677964,0.8416666666666666,-0.059963948216105616,0.00434185076973838,0.0004757102533261361,5.386118716807015e-05
5,SC901_1,EXC,1.3707865168539326,-0.04003871875059752,0.7217213114754099,-0.06443923638282072,0.005892706602005959,0.000679512460560882,5.4477200186593885e-05
6,SC903_1,EXC,28.30666666666667,-0.03481160271794634,0.7548280734809232,-0.044542841034106176,0.008337923022380202,0.000841427970023921,8.013595042619756e-05
7,SC904_1,EXC,22.94736842105263,-0.029676741465710317,1.0340700583819848,-0.03891076659721849,0.0105166770887683,0.0009162338156403036,0.00010269614516742571
8,SC905_1,EXC,3.816666666666667,-0.03766843797737054,0.5259825327510916,-0.047483099610719726,0.0037227492987860766,0.0004040936623959972,3.503546731314453e-05
9,SC906_1,EXC,6.183333333333334,-0.04355046485432963,0.33692722371967654,-0.05866624190334892,0.004955299980628399,0.00045413111631843593,8.321615912458766e-05
10,SC907_1,EXC,2.8333333333333335,-0.04211164015854602,0.2829411764705882,-0.05487515669651924,0.0038148646734758977,0.0004066246539078202,6.131317438768436e-05
11,SC908_1,EXC,17.089887640449437,-0.040854222880921484,0.2514792899408284,-0.053184252413253766,0.005607131837105637,0.0007896786716523411,8.448245194718764e-05
12,SC909_1,EXC,9.966666666666667,-0.04092678837481772,0.22179487179487184,-0.05761525069712106,0.005401385875929163,0.0006188838371287581,9.382430383059012e-05
13,SC910_1,EXC,21.416666666666668,-0.04324802980570303,0.27338521400778204,-0.055799101394385424,0.005081283673312299,0.0005263587803893146,0.00010813444647945972
14,SC911_1,EXC,88.875,-0.04442180998565019,0.2785193709244342,-0.0535757154101362,0.006026462917589393,0.000789346753391566,8.286864651315957e-05
15,SC912_1,EXC,2.4875,-0.03620930018832386,0.8394472361809046,-0.053804991527522744,0.006257766487967119,0.0008810492200758463,5.4953748362979456e-05
16,SC913_1,EXC,4.158333333333333,-0.04230254681851435,0.44919839679358725,-0.05145681502726359,0.00401139869056546,0.000562732795354699,3.75072325758026e-05
17,SC914_1,EXC,11.283333333333333,-0.039967955093804394,0.7078286558345643,-0.04813452897980223,0.004993952041649705,0.0005177426256815239,4.9124775507311396e-05
18,SC915_1,EXC,4.633333333333334,-0.04140566970444958,1.0494604316546763,-0.05532645105060544,0.007351282596224476,0.0009359101944914698,5.206840263729134e-05
19,SC916_1,EXC,1.1666666666666667,-0.038157211813064904,0.7492857142857144,-0.06126172429269739,0.0057778487983345455,0.0007114194593555298,6.045485280839462e-05
20,SC917_1,EXC,13.310344827586206,-0.042609716258835396,0.2680051813471503,-0.057570135034202406,0.006738123728412608,0.0009291607089987053,7.82029700040739e-05
21,SC918_1,EXC,36.15,-0.0352800795398698,0.636237897648686,-0.0436583821217802,0.005925123330262665,0.0007296000338684103,0.00011324585229442925
22,SC919_1,EXC,20.033333333333335,-0.04526291304338617,0.3267678868552412,-0.05821120987643352,0.007862247461487242,0.0010581190583200855,8.159448812339222e-05
23,SC923_1,EXC,2.2666666666666666,-0.03849191096155771,0.6919117647058824,-0.05534420600118692,0.004643531183119324,0.0005940148737939593,5.7902464252732044e-05
24,SC924_1,EXC,9.55,-0.03646135711491343,1.4158813263525305,-0.04941000184278623,0.00594302893461099,0.0007643603229195293,8.579345915256408e-05
25,SC925_1,EXC,0.3333333333333333,-0.04116677915853507,0.6,-0.06638930799039046,0.005904834971363087,0.0006814184113048227,6.646434587193167e-05
26,SC926_1,EXC,1.2758620689655173,-0.03857520568666062,1.231081081081081,-0.05605433752136465,0.004902566065303449,0.0005108514677928763,4.6734671484759204e-05
27,TK177_1,SST,0.2571428571428571,-0.04513301925057998,1.625,-0.06578667334955582,0.004740093465756216,0.0006179466614234144,6.03499219197899e-05
28,TK318_1,EXC,3.0681818181818183,-0.037129320854493116,1.1692592592592594,-0.05091154360649542,0.0053797391352124095,0.0006455313140366901,5.123025831156024e-05
29,TK320_1,SST,3.6,-0.03730253727161004,0.8509259259259259,-0.05214225922712717,0.004851382041006391,0.0006596091416487731,6.941192130059543e-05
30,TK320_2,SST,0.45,-0.03801868778258538,0.8888888888888888,-0.06147884385910336,0.005278422548549499,0.0006838814100164102,5.287437117748904e-05
31,TK323_1,SST,0.5535714285714286,-0.04519697576690727,0.33951612903225814,-0.06089229812972254,0.0033931479918863383,0.00036792502833727617,4.053935449987308e-05
32,TK326_2,PV,2.5627118644067797,-0.043742423644708386,0.2928571428571428,-0.057593560373919925,0.003767707084249034,0.0004294920269171934,4.377995140537458e-05
33,TK333_1,SST,6.6117647058823525,-0.04388846607687512,0.45587188612099644,-0.05261028840023678,0.0034744790572380233,0.0004176800077404217,5.632966999166815e-05
34,TK334_1,SST,4.906976744186046,-0.044465153392572246,0.42116903633491315,-0.05622793462500238,0.003588177881385048,0.0003942848613147863,6.373824573778291e-05
35,TK348_1,SST,4.734939759036145,-0.04210113738907145,0.46647582697201023,-0.05282809722001631,0.003520758737373355,0.000398145838200157,6.74750683734969e-05
36,TK353_1,SST,61.19760479041916,-0.0420132813389999,0.2733610567514677,-0.051403060102359885,0.0052088890953179735,0.0005402312329616453,0.00014505492555323465
37,TK355_1,SST,31.86111111111111,-0.03927317018470355,0.38892763731473406,-0.04932681763938837,0.00613129471133388,0.0007699960483685734,8.463180841237984e-05
38,TK358_2,SST,1.0344827586206897,-0.04360815478704792,0.34999999999999987,-0.05641230397818746,0.0036541638948350192,0.0003922009916570442,3.709083990062586e-05
39,TK358_3,EXC,8.05072463768116,-0.039329138805759896,0.3922592259225922,-0.053417835200056385,0.006790946745385988,0.0008857849034016143,9.364543952074607e-05
40,TK364_1,PV,2.775,-0.041428296026597956,0.5852852852852852,-0.051358831546104336,0.0037242545106953434,0.0004522434681789958,4.6111807111836484e-05
41,TK367_1,SST,0.28888888888888886,-0.039021046271161146,0.5980769230769232,-0.06920972283200885,0.007047001115831633,0.0009122968040807845,9.258065339034291e-05
42,TK373_1,SST,7.45,-0.04794566861725612,0.4569630872483222,-0.05550305000924742,0.0034524672322018904,0.0004276111485213199,5.831785846806877e-05
43,TK376_1,SST,23.471153846153847,-0.042135451262095176,0.26517820565342076,-0.05597505516286451,0.006577389395719217,0.0008820742992516073,8.979304621276622e-05
44,TK383_1,EXC,6.769230769230769,-0.044288514536856456,0.5497159090909091,-0.05225633034370227,0.003696245653644553,0.0004199499903895959,4.455917316477712e-05
45,TK384_2,SST,3.558139534883721,-0.04388666847962169,0.540032679738562,-0.053913543626855936,0.0035265129691153816,0.0004409345809473298,7.229050169452967e-05
46,TK385_1,EXC,17.048192771084338,-0.04023183457708823,0.2956537102473498,-0.05512520514001038,0.007667768984677398,0.0011283426578528573,0.00010060879681397306
47,TK385_2,EXC,0.49166666666666664,-0.040282050098855986,0.5957627118644069,-0.06261583704644347,0.005536992594846107,0.0006405068384155712,0.00010785176186658847
48,TK387_1,EXC,0.2833333333333333,-0.039018858688531104,0.5705882352941176,-0.06423258493937165,0.004911984662412097,0.000598251661583889,7.13606180416909e-05
49,TK390_1,SST,41.86666666666667,-0.03973877548668265,0.3590764331210191,-0.052769275660333445,0.007531243221652759,0.0010366818829701972,8.796514630087775e-05
50,TK402_1,EXC,24.140350877192983,-0.040767356809457804,0.29040697674418603,-0.05473459228040383,0.007754517493258953,0.0011097346740913075,0.00010953222203136743
51,TK403_1,EXC,34.825,-0.04155468735349176,0.33652787748265134,-0.05497334560299589,0.00897815672096367,0.0012155345587413716,9.266853053422468e-05
