,cell_id,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high
0,AP032_1,PV,0.875,-0.04079475117773216,0.6089285714285715,-0.06437776473111408,0.005947502278053861,0.0007630806206011714,7.018338664693038e-05
1,AP032_2,PV,1.8571428571428572,-0.040812251508398185,0.9932692307692306,-0.05618884699216763,0.005207727020506803,0.0006352355782652452,9.013557331602756e-05
2,AP035_1,PV,2.1,-0.03756243564859375,0.786111111111111,-0.05827315927113142,0.006373929762752708,0.0007745767571784868,5.288109113727105e-05
3,AP035_2,PV,0.9,-0.03169538079383467,0.8495370370370371,-0.055222131621159576,0.006060669858140233,0.0008369418140729768,6.878772964906073e-05
4,AP039_1,SST,0.5666666666666667,-0.040215082494531026,0.8661764705882352,-0.060516883633142275,0.004220243079199722,0.0005134052572894058,5.4187069140740186e-05
5,AP039_2,SST,1.2747252747252746,-0.03968324613551654,0.7668103448275864,-0.06443765798966383,0.005903983735245558,0.0007188565513169434,5.905398700772535e-05
6,AP040_1,SST,26.771428571428572,-0.03778551100795197,0.6136606189967982,-0.045445808343373056,0.005674572772473973,0.0007068889479901947,7.871754325523793e-05
7,AP040_2,SST,26.661971830985916,-0.029834419553925455,1.0417062863180135,-0.03817377993142948,0.010205950445742065,0.0009281702700306796,0.00010546134315034562
8,AP040_3,SST,2.2,-0.03929690983987691,0.4712121212121213,-0.04886792349367053,0.0036043649707376306,0.00038416669539685503,3.063278507124017e-05
9,AP056_1,SST,1.858695652173913,-0.045003967477724095,0.3213450292397661,-0.06000857859565572,0.0038660862269251977,0.00047153860554486536,7.65035335013981e-05
10,AP056_2,SST,2.0833333333333335,-0.04270490632305334,0.2763999999999999,-0.05623449486537189,0.0035257971879181903,0.000381359969301534,5.6172767803261566e-05
11,AP060_1,PV,14.8125,-0.0412216075526507,0.2518987341772152,-0.05332958355762644,0.005411744452741634,0.0007057048167311872,8.476603975122618e-05
12,AP060_2,PV,12.344262295081966,-0.04053847426495521,0.2233067729083666,-0.05684518556536606,0.005765025077413024,0.0006176315279601461,9.691277910559315e-05
